episod,total_reward
1,8.988379152780794
2,8.979738691708611
3,54.40851681152941
4,17.616648411989747
5,20.70822817011942
6,54.73814608778636
7,23.387701781626998
8,11.932054776881083
9,8.979854105037685
10,8.983666657494993
11,5.996638495055201
12,5.997128776340647
13,5.997632714129093
14,5.9981003912459
15,8.991653699552764
16,8.992636261516152
17,8.995441158666472
18,2.999957373201351
19,2.999951608673886
20,2.999948284772651
21,2.999942571251175
22,2.999937474526347
23,2.9999327075927824
24,2.9999265780712854
25,2.9999229974674355
26,2.999917871187188
27,2.9999109815432052
28,2.9999039631948756
29,2.9998982440663555
30,2.9998914684252522
31,2.9998812622113205
32,2.999872431882669
33,2.9998590501077596
34,2.999848141640915
35,2.9998347727286236
36,2.999820810003331
37,2.999805061487349
38,2.9997922527132546
39,2.9997752427843913
40,2.999760624454869
41,2.9997430693801226
42,2.999728058404817
43,2.9997103447919344
44,2.9996910787516877
45,2.9996710576771792
46,2.9996438416433167
47,2.999612751414833
48,2.9995826656402107
49,2.999547868028956
50,2.9995051731705287
51,2.999461548627779
52,2.9994129204423583
53,2.9993536956154583
54,2.9992926333165792
55,2.99922810721188
56,2.9991517527303775
57,2.999073404204505
58,2.9989842950121925
59,2.9988963138014855
60,2.9987959576463017
61,2.998671438071198
62,2.998519501297452
63,2.9983735625584536
64,2.9982156279447976
65,5.974866219265498
66,5.972554889360124
67,5.970630206541364
68,5.968469923662676
69,5.9657630365435566
70,5.962895492430411
71,5.95993495024384
72,5.957376490285492
73,5.9550107150533
74,5.957652973619901
75,2.9945419542280423
76,2.994582798094868
77,2.994668093664395
78,2.9948266790764118
79,2.995006438012758
80,2.995236111923739
81,2.995488848021178
82,2.9957603452210284
83,2.9960015461722507
84,2.996258325121515
85,2.996469591137413
86,2.996659739630326
87,2.99683344096655
88,2.9970077623959313
89,2.9971627735078794
90,2.9973138445791556
91,2.997491324589806
92,2.9976252729444424
93,2.9977604259477144
94,2.99790789246908
95,2.9980135338774794
96,2.9981352247542064
97,2.9982798205428667
98,2.998422234952176
99,2.9985569327782113
100,2.9986699353512476
101,2.998492933619448
102,2.998268927532482
103,2.9980521979613615
104,2.997843775972414
105,2.997618879629687
106,2.997345171304346
107,2.9970472778665065
108,2.9967684089981654
109,2.9964770843678092
110,2.99610060836659
111,2.995779852272564
112,2.9954268970420097
113,5.982013467813532
114,5.979736721241741
115,5.9761986638584
116,5.974235053647634
117,5.969792873285479
118,5.96506378221301
119,5.961087993830537
120,5.957915409302455
121,5.953227193625903
122,5.946224948453676
123,5.940463597154167
124,8.849882778453349
125,8.81542461948954
126,8.796236361144647
127,11.567107871762593
128,14.251440791107992
129,16.895322407978348
130,19.6597583907526
131,24.070903467984493
132,29.30244152312916
133,26.640136420919845
134,24.158355112397754
135,26.097362756399257
136,23.825352585655626
137,24.441397260916645
138,30.09642210461251
139,27.774279743506078
140,26.9322503127427
141,24.70885750322191
142,24.836929563023244
143,24.638693290698317
144,26.564391996343954
145,26.278190816474552
146,30.145999698827257
147,19.144794330616104
148,19.03246408430615
149,21.68928366609242
150,25.78240243195726
151,16.440936609485988
152,8.750071784497377
153,8.798174858216772
154,5.932334510247406
155,5.940675676417566
156,5.950325865193233
157,5.959361166004969
158,5.96815064668481
159,5.975030261491417
160,5.976916702956644
161,5.975662864394057
162,5.980947793781032
163,5.979465129915646
164,5.9949741397200516
165,5.987870832156222
166,5.980103664968699
167,5.983334077116201
168,5.9692322903086605
169,5.948476770967573
170,5.9372092123823235
171,8.775978270065846
172,27.21173703292393
173,26.068046805483217
174,-607.6905431459903
175,-811.2418377093769
176,5.947670056283506
177,5.934587919045068
178,8.75873039015026
179,11.413780858259944
180,19.15962874983565
181,5.936602726022652
182,5.958766359618436
183,5.977822744163381
184,5.977356295843201
185,5.973850484324805
186,5.973508567719424
187,5.97304103514157
188,5.977695260342481
189,5.977584780783483
190,2.995151065469787
191,2.995553993029774
192,2.995947746545143
193,2.996344419946965
194,2.9965837513234703
195,2.9968169457077547
196,2.9971146654245793
197,2.9974203043772274
198,2.9973423269369257
199,2.9971789384329752
200,2.9970413437076724
201,2.9969067231616915
202,2.996802519536289
203,2.9967591449418562
204,2.9967575011808054
205,2.9967002436448276
206,2.9966142619016596
207,2.9964334795770506
208,2.996300422578593
209,2.995971370668692
210,2.9957605997895294
211,2.9956248009668562
212,2.9955036614033324
213,2.9957067148867647
214,2.9960397436339523
215,2.99636111555884
216,2.9967696750273
217,2.997011631592748
218,2.9970983205822277
